#,Org.,Name,Lvl,LIF,STR,AGI,DEX,WIS,LDR,MRK,MED,MCH,EXP,Personality,Skill 1,Skill 2,Evolve,Morale,Sleep,DepRqrd,1d,7d,14d,Deposit,
36,AIM,Scope,5,87,64,89,76,81,39,99,17,4,21,None,Night ops,Teaching,Normal,50,8,Yes,2900,19000,35000,3400,
37,AIM,Wolf,3,90,85,83,86,76,22,79,48,65,40,None,Teaching,Night ops,Normal,50,8,Yes,1400,8000,14000,2500,
38,AIM,MD,1,72,76,62,78,94,4,66,80,7,0,Heat intolerant,Knifing,Teaching,Normal,50,8,Yes,500,3000,5000,1100,
39,AIM,Meltdown,3,78,76,74,84,82,24,83,3,22,40,None,Heavy weapons,Ambidextrous,Normal,50,8,Yes,800,4900,9000,1600,
40,MERC,Biff,2,73,41,74,71,58,13,57,24,0,4,Nervous,Teaching,,Normal,50,8,No,200,0,0,0,
41,MERC,Haywire,1,65,71,59,76,58,1,48,2,8,31,Psycho,Auto weapons,Knifing,Normal,50,8,No,150,0,0,0,
42,MERC,Gasket,1,72,68,61,89,49,3,44,0,82,8,Forgetful,Lock picking,,Normal,50,8,No,200,0,0,0,
43,MERC,Razor,2,73,86,88,91,53,4,50,12,8,11,Psycho,Knifing,Knifing,Normal,50,8,No,150,0,0,0,
44,MERC,Flo,1,58,45,37,64,82,1,38,19,12,6,Nervous,Teaching,Ambidextrous,Normal,50,8,No,100,0,0,0,
45,MERC,Gumpy,1,67,70,45,67,94,11,44,9,12,56,Heat intolerant,Electronics,Stealthy,Normal,50,8,No,150,0,0,0,
46,MERC,Larry,3,69,67,87,79,70,18,70,70,14,92,None,Stealthy,Lock picking,Normal,50,8,No,700,0,0,0,
47,MERC,Larry,1,69,35,72,54,58,4,50,49,7,82,Forgetful,,,Reversed,50,8,No,700,0,0,0,
48,MERC,Cougar,5,88,87,83,79,75,31,93,33,58,45,None,Auto weapons,Stealthy,Normal,50,8,No,2000,0,0,0,
49,MERC,Numb,3,84,78,72,61,70,10,88,30,9,13,None,Night ops,Martial arts,Normal,50,8,No,900,0,0,0,
50,MERC,Wildcat,3,89,81,88,84,77,16,79,36,25,16,None,Ambidextrous,Hand-to-hand,Normal,50,8,No,1200,0,0,0,
57,RPC,Miguel,6,88,83,73,76,80,98,79,13,22,31,None,Night ops,Knifing,Normal,50,8,No,0,0,0,0,
58,RPC,Sandman,1,92,58,96,74,94,8,48,15,4,21,None,Martial arts,Thief,Normal,50,8,No,30,0,0,0,
59,RPC,Sparky,5,60,75,76,96,59,36,55,6,94,1,None,Hand-to-hand,Electronics,Normal,50,8,No,750,0,0,0,
60,RPC,Frazzler,3,95,83,62,75,94,12,65,28,4,5,None,Hand-to-hand,Knifing,Normal,50,8,No,360,0,0,0,
61,RPC,TNT,4,94,84,70,72,87,20,77,19,22,84,None,Teaching,Throwing,Normal,50,8,No,520,0,0,0,
62,RPC,Robot,1,95,30,30,30,5,1,80,0,0,0,None,,,Normal,50,8,No,0,0,0,0,
64,RPC,Terry,4,80,77,76,78,59,16,93,10,82,34,Non-swimmer,Lock picking,Rooftops,Normal,50,8,No,0,0,0,0,
65,RPC,Eagle,5,64,73,84,63,74,48,88,32,67,2,None,Night ops,Throwing,Normal,50,8,No,1600,0,0,0,
66,RPC,Dynamo,1,76,55,57,67,78,8,68,21,67,9,Psycho,Lock picking,Lock picking,Normal,50,8,No,50,0,0,0,
67,RPC,Shank,1,75,35,40,45,80,8,50,20,15,10,None,Throwing,Throwing,Normal,50,8,No,120,0,0,0,
68,RPC,Ilja,5,93,91,89,94,76,25,91,23,45,55,None,Auto weapons,Rooftops,Normal,50,8,No,3200,0,0,0,
69,RPC,Fish,3,82,88,66,64,84,24,85,37,14,18,None,Knifing,Stealthy,Normal,50,8,No,780,0,0,0,
70,RPC,Cyborg,3,99,99,50,99,99,1,99,1,1,1,None,Heavy weapons,Auto weapons,Normal,50,8,No,1500,0,0,0,
71,RPC,Joey,2,82,68,60,60,92,4,72,15,2,4,Psycho,Stealthy,Ambidextrous,Normal,50,8,No,160,0,0,0,
72,RPC,Maddog,1,91,78,91,92,56,8,66,7,68,18,Psycho,Lock picking,Lock picking,Normal,50,8,No,0,0,0,0,
